global_rank,layer,neuron_index,layer_rank,abs_weight,entry_threshold
285184,16,6975,9234,0.0014147916,0.98370549
285185,22,1493,9414,0.0013434188,0.9837056
285186,10,8000,8891,0.0013843635,0.98370579
285187,18,10606,9249,0.0014410188,0.98370636
285188,2,2992,6805,0.0034262415,0.98370663
285189,15,1381,9204,0.001455067,0.98370667
285190,12,138,8707,0.0013289907,0.98370686
285191,23,818,9434,0.0014722439,0.98370707
285192,6,5601,8809,0.0013096444,0.98370707
285193,28,2147,10284,0.0014909689,0.98370719
285194,3,2310,6197,0.0044004736,0.98370722
285195,13,8474,8721,0.0013700821,0.98370737
285196,7,3712,8590,0.001321825,0.98370816
285197,31,8789,9762,0.00063753617,0.98370848
285198,25,1769,9593,0.0015245168,0.98370865
285199,0,12464,7016,0.0092551326,0.9837088
285200,9,2365,8961,0.0015120141,0.98370901
285201,20,9490,9172,0.0012921214,0.98370918
285202,5,1449,7452,0.0050247046,0.98370932
285203,8,8731,8812,0.001432194,0.98370985
285204,29,9060,10391,0.0012895789,0.98371012
285205,14,3348,8919,0.0014528778,0.98371015
285206,26,10296,8823,0.0040230155,0.98371039
285207,17,14130,9328,0.001428533,0.9837105
285208,1,6657,7583,0.00204743,0.98371053
285209,21,7505,9411,0.0014877028,0.98371072
285210,24,10867,9482,0.0014589281,0.98371104
285211,19,9292,9124,0.0013535277,0.98371137
285212,4,42,9320,0.0011110342,0.98371144
285213,11,2286,8716,0.0013821302,0.98371149
285214,2,9954,6806,0.0034255672,0.98371152
285215,30,8642,10087,0.0011195191,0.98371183
285216,10,10589,8892,0.0013842352,0.98371198
285217,16,2858,9235,0.0014141611,0.98371202
285218,3,10416,6198,0.0044002868,0.98371208
285219,22,9875,9415,0.0013427781,0.9837124
285220,27,8930,9724,0.0015275483,0.98371246
285221,12,7219,8708,0.001328951,0.98371286
285222,18,10317,9250,0.001440878,0.98371296
285223,6,1895,8810,0.0013095661,0.98371317
285224,15,10961,9205,0.0014549567,0.98371317
285225,13,1707,8722,0.0013700767,0.98371331
285226,23,6096,9435,0.0014717755,0.98371391
285227,7,6602,8591,0.0013217845,0.98371411
