rank,neuron_id,layer,neuron_idx,score,importance
348,449077,31,4661,0.06644469499588013,0.06644469499588013
349,456096,31,11680,0.06639880686998367,0.06639880686998367
350,456714,31,12298,0.06629244238138199,0.06629244238138199
351,456111,31,11695,0.06623154133558273,0.06623154133558273
352,449560,31,5144,0.06584259122610092,0.06584259122610092
353,442230,30,12150,0.06570933014154434,0.06570933014154434
354,452645,31,8229,0.06534751504659653,0.06534751504659653
355,449010,31,4594,0.06531596183776855,0.06531596183776855
356,444853,31,437,0.06530013680458069,0.06530013680458069
357,449204,31,4788,0.06529463827610016,0.06529463827610016
358,454596,31,10180,0.06516436487436295,0.06516436487436295
359,453647,31,9231,0.06494195759296417,0.06494195759296417
360,446623,31,2207,0.0647621601819992,0.0647621601819992
361,457384,31,12968,0.06469739973545074,0.06469739973545074
362,450840,31,6424,0.06447438150644302,0.06447438150644302
363,445210,31,794,0.06407590955495834,0.06407590955495834
364,455849,31,11433,0.06404180079698563,0.06404180079698563
365,452008,31,7592,0.06400151550769806,0.06400151550769806
366,436026,30,5946,0.06393168121576309,0.06393168121576309
367,458230,31,13814,0.0638582706451416,0.0638582706451416
368,429864,29,14120,0.06368020921945572,0.06368020921945572
369,453208,31,8792,0.06362481415271759,0.06362481415271759
370,455496,31,11080,0.06320568919181824,0.06320568919181824
371,448062,31,3646,0.06299849599599838,0.06299849599599838
372,455426,31,11010,0.06251177936792374,0.06251177936792374
373,434850,30,4770,0.06244348734617233,0.06244348734617233
374,456862,31,12446,0.062417641282081604,0.062417641282081604
375,403056,28,1648,0.062240514904260635,0.062240514904260635
376,458224,31,13808,0.06199520081281662,0.06199520081281662
377,454430,31,10014,0.061756934970617294,0.061756934970617294
378,446155,31,1739,0.061744701117277145,0.061744701117277145
379,427394,29,11650,0.06147455424070358,0.06147455424070358
380,454390,31,9974,0.0611751526594162,0.0611751526594162
381,457991,31,13575,0.06113453954458237,0.06113453954458237
382,449038,31,4622,0.06105910241603851,0.06105910241603851
383,454750,31,10334,0.061055347323417664,0.061055347323417664
384,440920,30,10840,0.06089623272418976,0.06089623272418976
385,433983,30,3903,0.06087454780936241,0.06087454780936241
386,450488,31,6072,0.06079552695155144,0.06079552695155144
387,452999,31,8583,0.06074851006269455,0.06074851006269455
388,458523,31,14107,0.060583073645830154,0.060583073645830154
389,458064,31,13648,0.06050034612417221,0.06050034612417221
390,449958,31,5542,0.060340579599142075,0.060340579599142075
391,454887,31,10471,0.060251712799072266,0.060251712799072266
392,455610,31,11194,0.060121744871139526,0.060121744871139526
393,448774,31,4358,0.0599907711148262,0.0599907711148262
394,429909,29,14165,0.059963151812553406,0.059963151812553406
395,441654,30,11574,0.059875454753637314,0.059875454753637314
396,432306,30,2226,0.05955938622355461,0.05955938622355461
397,448595,31,4179,0.059557635337114334,0.059557635337114334
398,455853,31,11437,0.05948392674326897,0.05948392674326897
399,416878,29,1134,0.05944539234042168,0.05944539234042168
400,453200,31,8784,0.05926945433020592,0.05926945433020592
401,445909,31,1493,0.05919840931892395,0.05919840931892395
402,438033,30,7953,0.05911286175251007,0.05911286175251007
403,456056,31,11640,0.0589698851108551,0.0589698851108551
404,456329,31,11913,0.05882151052355766,0.05882151052355766
405,434262,30,4182,0.05880017578601837,0.05880017578601837
406,435985,30,5905,0.058643098920583725,0.058643098920583725
407,445573,31,1157,0.0585046224296093,0.0585046224296093
408,437755,30,7675,0.05842164158821106,0.05842164158821106
409,455651,31,11235,0.05827347934246063,0.05827347934246063
410,415998,29,254,0.05822088569402695,0.05822088569402695
411,429072,29,13328,0.05820624157786369,0.05820624157786369
412,447915,31,3499,0.058117736130952835,0.058117736130952835
413,458021,31,13605,0.05775763466954231,0.05775763466954231
414,447739,31,3323,0.05770765617489815,0.05770765617489815
415,452360,31,7944,0.057667817920446396,0.057667817920446396
416,378652,26,5916,0.057124752551317215,0.057124752551317215
417,431642,30,1562,0.057068824768066406,0.057068824768066406
418,437056,30,6976,0.05706784129142761,0.05706784129142761
419,431873,30,1793,0.05696144700050354,0.05696144700050354
420,443045,30,12965,0.05691671371459961,0.05691671371459961
421,433444,30,3364,0.056741051375865936,0.056741051375865936
422,429543,29,13799,0.05638623982667923,0.05638623982667923
423,447439,31,3023,0.05627397075295448,0.05627397075295448
424,421971,29,6227,0.056213438510894775,0.056213438510894775
425,446041,31,1625,0.05610227212309837,0.05610227212309837
426,437226,30,7146,0.056078020483255386,0.056078020483255386
427,454452,31,10036,0.055999547243118286,0.055999547243118286
428,435606,30,5526,0.05594312772154808,0.05594312772154808
429,433462,30,3382,0.055567868053913116,0.055567868053913116
430,454411,31,9995,0.055331919342279434,0.055331919342279434
431,438619,30,8539,0.0551016628742218,0.0551016628742218
432,446968,31,2552,0.05492093041539192,0.05492093041539192
433,436805,30,6725,0.054918721318244934,0.054918721318244934
434,447705,31,3289,0.05489308387041092,0.05489308387041092
435,448023,31,3607,0.05483796074986458,0.05483796074986458
436,456451,31,12035,0.05472378805279732,0.05472378805279732
437,409997,28,8589,0.05467652156949043,0.05467652156949043
438,439819,30,9739,0.05464551970362663,0.05464551970362663
439,450031,31,5615,0.05461256206035614,0.05461256206035614
440,456561,31,12145,0.05441652983427048,0.05441652983427048
441,442564,30,12484,0.05434524267911911,0.05434524267911911
442,445263,31,847,0.054188359528779984,0.054188359528779984
443,447860,31,3444,0.054008521139621735,0.054008521139621735
444,455204,31,10788,0.05364500731229782,0.05364500731229782
445,436163,30,6083,0.05363732576370239,0.05363732576370239
446,453463,31,9047,0.05335426330566406,0.05335426330566406
447,451821,31,7405,0.05323230102658272,0.05323230102658272
448,449458,31,5042,0.053001441061496735,0.053001441061496735
