variant,layer,neuron_index,rank_siren,rank_yang_harmfulness,percentile_siren,percentile_yang_harmfulness,consensus_score,n_methods_at_N,methods_that_selected_it_at_N,selection_rank
rank_consensus,31,3175,11312,44,0.024656077043973747,9.373276570514288e-05,0.012374904904839445,1,yang_harmfulness,182
rank_consensus,30,10725,11133,242,0.02426588715882908,0.0005253394543009171,0.012395613306564999,1,yang_harmfulness,183
rank_consensus,31,8118,11186,216,0.02438141824214007,0.00046866382852571437,0.012425041035332892,1,yang_harmfulness,184
rank_consensus,31,3759,11273,130,0.02457106360531094,0.00028119829711542864,0.012426130951213185,1,yang_harmfulness,185
rank_consensus,31,1395,11335,90,0.024706213174467195,0.0001940050266920399,0.012450109100579618,1,yang_harmfulness,186
rank_consensus,31,9261,11230,238,0.0244773308396058,0.0005166201272585782,0.012496975483432189,1,yang_harmfulness,187
rank_consensus,30,1797,11266,279,0.02455580478298685,0.0006059932294425516,0.0125808990062147,1,yang_harmfulness,188
rank_consensus,23,971,366,11325,0.0007956385926134221,0.024684414856861348,0.012740026724737384,1,siren,189
rank_consensus,29,7425,337,11388,0.0007324234715564653,0.024821744257778184,0.012777083864667325,1,siren,190
rank_consensus,31,11541,12068,100,0.026304029854975795,0.00021580334429788708,0.01325991659963684,1,yang_harmfulness,191
rank_consensus,30,1595,319,11864,0.0006931864998659403,0.02585934417581651,0.013276265337841224,1,siren,192
rank_consensus,31,11208,11840,434,0.025807028213562476,0.0009438671523331829,0.013375447682947829,1,yang_harmfulness,193
rank_consensus,30,8726,12169,135,0.026524192862794848,0.00029209745591835223,0.0134081451593566,1,yang_harmfulness,194
rank_consensus,31,8652,12151,223,0.026484955891104323,0.0004839226508498074,0.013484439270977065,1,yang_harmfulness,195
rank_consensus,31,1324,12433,19,0.027099668447589216,3.9236971690524926e-05,0.01356945270963987,1,yang_harmfulness,196
rank_consensus,31,13869,12416,71,0.027062611307659273,0.00015258822324093027,0.013607599765450102,1,yang_harmfulness,197
rank_consensus,31,7450,12594,7,0.027450621361043356,1.3078990563508308e-05,0.013731850175803433,1,yang_harmfulness,198
rank_consensus,31,6467,12556,80,0.027367787754141136,0.00017220670908619273,0.013769997231613665,1,yang_harmfulness,199
rank_consensus,30,2792,12787,27,0.027871328890836204,5.667562577520267e-05,0.013964002258305703,1,yang_harmfulness,200
rank_consensus,31,9114,12777,173,0.027849530573230356,0.0003749310628205715,0.014112230818025463,1,yang_harmfulness,201
rank_consensus,31,8937,13038,12,0.028418466662742968,2.39781493664319e-05,0.0142212224060547,1,yang_harmfulness,202
rank_consensus,31,12529,12958,134,0.028244080121896192,0.0002899176241577675,0.01426699887302698,1,yang_harmfulness,203
rank_consensus,30,635,12998,137,0.02833127339231958,0.00029645711943952167,0.01431386525587955,1,yang_harmfulness,204
rank_consensus,31,6072,13095,140,0.0285427170730963,0.0003029966147212758,0.014422856843908788,1,yang_harmfulness,205
rank_consensus,31,7416,13290,30,0.028967784266410317,6.321512105695683e-05,0.014515499693733638,1,yang_harmfulness,206
rank_consensus,31,3540,13210,141,0.02879339772556354,0.00030517644648186054,0.0145492870860227,1,yang_harmfulness,207
rank_consensus,31,850,13351,23,0.029100754003805986,4.79562987328638e-05,0.014574355151269425,1,yang_harmfulness,208
rank_consensus,30,9247,13090,287,0.028531817914293375,0.0006234318835272294,0.014577624898910301,1,yang_harmfulness,209
rank_consensus,31,1000,13251,248,0.028882770827747515,0.0005384184448644254,0.01471059463630597,1,yang_harmfulness,210
rank_consensus,31,12119,13463,40,0.029344895160991476,8.5013438662804e-05,0.01471495429982714,1,yang_harmfulness,211
rank_consensus,31,12323,13115,414,0.028586313708307994,0.0009002705171214885,0.014743292112714742,1,yang_harmfulness,212
rank_consensus,31,12841,13426,210,0.02926424138584984,0.00045558483796220606,0.014859913111906023,1,yang_harmfulness,213
rank_consensus,31,12193,13444,200,0.029303478357540366,0.0004337865203563589,0.014868632438948362,1,yang_harmfulness,214
rank_consensus,31,11057,429,13257,0.0009329679935302593,0.028895849818311024,0.014914408905920641,1,siren,215
rank_consensus,26,2128,76,13763,0.00016348738204385386,0.02999884468916689,0.015081166035605373,1,siren,216
rank_consensus,31,3630,13719,147,0.029902932091701164,0.00031825543704536884,0.015110593764373266,1,yang_harmfulness,217
